model,term,log_PR,se,PR,lower,upper,p,df,missing_information
Age_M3,region3,0.355302976790741,0.106648747409347,1.42661281938382,1.15721689996267,1.75872313694686,0.000895842936876272,984.1911943537,0.00370640944320541
Age_M3,region4,0.194544705385257,0.131269736867722,1.21475778788607,0.938891016468331,1.5716802667689,0.138654227654949,984.730050075208,0.0032612077826228
Age_M3,educationSome college or associate,-0.123681595110911,0.0874124976248366,0.883661158127027,0.74436862737719,1.04901928112389,0.15741008928403,979.526912150217,0.0066754126681824
Age_M3,educationHigh school or GED,-0.331544582958784,0.0914469258077355,0.717814153224539,0.599895678179901,0.858911269594016,0.000303241310096165,977.307490737243,0.00778797959792923
Age_M3,educationLess than high school,-0.303126220673937,0.107994166816296,0.738505875778076,0.597468703146394,0.912835979000409,0.00510192249293081,977.238522283365,0.00782063938144013
Age_M3,income_group200-399%,0.733389727666281,0.118704509369411,2.08212650090273,1.6493122743772,2.62852028273331,1.06066442752314e-09,752.587890362818,0.0515400788982143
Age_M3,income_group100-199%,0.927278727934527,0.129003085884338,2.52762146451423,1.96172628605632,3.25675927028366,2.40244352883311e-12,500.845188034688,0.0931983449336352
Age_M3,income_group<100%,0.730668996907713,0.140872224432053,2.07646929464576,1.57478553422988,2.7379758309218,2.75466283864073e-07,751.46968863706,0.0517090754302139
Age_M3,insurancePublic without private,-0.309301430987821,0.0725739593935009,0.733959498542231,0.636531472729273,0.846299937363003,2.22482435453614e-05,970.380011634783,0.0106775401319417
Age_M3,insuranceMilitary only,-0.215700797218945,0.229975812108871,0.805976416185832,0.513245665832592,1.26566676874704,0.348511654342198,983.196108290611,0.00445070576740361
Age_M3,insuranceUninsured,0.621966201922762,0.0947250000731564,1.86258666535411,1.54661684400401,2.24310830404092,8.52604175639326e-11,942.400425705627,0.0188401900453378
Age_M3,hypertensionYes,-0.0557236622483978,0.0706378073707561,0.945800460154477,0.823376095833268,1.08642759360549,0.430381726242809,981.254781840481,0.00570484799838909
Age_M3,diabetesYes,0.149125593550114,0.074787554431071,1.16081877140478,1.00236680219582,1.34431848410564,0.0464290679104065,983.155487327343,0.00447933446132581
Age_M3,coronaryYes,0.25303936475807,0.0741701355137698,1.2879339750461,1.11347933301387,1.48972134003441,0.000672071536401385,984.581297835484,0.00338766189106766
Age_M3,smokingFormer,-0.020482198363362,0.0741460517891422,0.979726137047978,0.847058823829621,1.13317195525493,0.782420902071533,981.935728886759,0.00528859650439977
Age_M3,smokingCurrent,0.280048775559555,0.0777909305407712,1.32319435030832,1.13586314451649,1.54142098644565,0.000334135188121895,980.126963346463,0.00635056992749252
Age_M3,fairpoorFair or poor,0.476948510716051,0.0739679243205674,1.6111504849337,1.39346730654282,1.86283946018244,1.77452659525254e-10,981.826231847556,0.00535705315454959
Age_M3,disabilityWith disability,0.11051385138881,0.0637444870096479,1.11685181889377,0.985528721758058,1.26567390460339,0.0832846536674445,983.380482510999,0.00431919272928715
AgeInteraction,(Intercept),-3.25393757831084,0.20750991532323,0.0386218315456003,0.0257027318036161,0.0580345265761543,1.47136121155226e-49,969.351439739405,0.00873112590013255
AgeInteraction,yearf2020,-0.294679935135902,0.234896363722592,0.74476992400681,0.469710627379779,1.18090204345457,0.209956082633218,978.607396012273,0.00338628668635826
AgeInteraction,yearf2021,-0.208212985847186,0.16844913042959,0.812034066528889,0.583462181832917,1.1301492122968,0.216733109246717,979.593823350019,0.00247413550809223
AgeInteraction,yearf2022,-0.200199151729986,0.194859205998617,0.818567717667045,0.558450903925292,1.19984246367389,0.304483792521141,979.735028349465,0.00232844232551341
AgeInteraction,yearf2023,-0.15407028284445,0.171053740069823,0.857211771612628,0.61278280351379,1.19913942946463,0.367962733520043,978.350264089103,0.00360046915074113
AgeInteraction,yearf2024,0.019890513320586,0.166671396447104,1.02008964768423,0.735515563321356,1.41476664968663,0.905030708783216,979.494350424718,0.00257407719036675
AgeInteraction,yearf2025,-0.114467258819357,0.183884091981365,0.89184113787191,0.621686535014115,1.27939173587313,0.533760108384787,979.663031365891,0.0024033096414557
AgeInteraction,young18-64,0.690931466242296,0.160481521394536,1.99557347713071,1.45645303540081,2.73425466241116,1.83483876211927e-05,978.831726168541,0.00319247625323329
AgeInteraction,sex2,0.224704511611517,0.0630427641681346,1.25195272403748,1.10626388995994,1.41682797156258,0.000382597068392282,969.235105157836,0.00878217723421586
AgeInteraction,race2,0.100515037485933,0.119677664932562,1.1057402691328,0.87429337099549,1.39845683765134,0.40118002428014,978.768492586354,0.00324780629504187
AgeInteraction,race3,0.0716486461069007,0.132999534100052,1.07427782605003,0.827498333946791,1.39465277475349,0.590206966229906,979.413680694786,0.00265360371963687
AgeInteraction,race4,-0.312306677175817,0.285348468849615,0.731757080618724,0.418001168878773,1.28102135807886,0.274015794734456,979.896949251337,0.0021553136786316
AgeInteraction,race5,-0.269220102491721,0.347432731390657,0.763975084321742,0.386347276230614,1.51070802196111,0.438595250095278,979.019459171323,0.00302474619286979
AgeInteraction,race6,-0.0109097128087343,0.229764831933784,0.989149582281352,0.630144655150612,1.55268617789596,0.962138831703098,965.280345727185,0.0104013728980033
AgeInteraction,race7,0.197559383777249,0.300403487899916,1.21842541752492,0.675736195194186,2.19695275853052,0.510920377937957,974.886276541519,0.00595766320192029
AgeInteraction,region2,0.183805796737821,0.113212781157937,1.20178241036776,0.962364023117255,1.50076366860751,0.104796103753375,976.675693350212,0.00483815649846027
AgeInteraction,region3,0.34515104468101,0.106477652873262,1.41220320934239,1.14591117319966,1.74037739671247,0.00122903967027742,978.058708361093,0.00383414341713311
AgeInteraction,region4,0.189531580680396,0.131072625613098,1.20868329442753,0.934555671770942,1.56321913221051,0.148496083584494,978.87963193661,0.00315017623345844
AgeInteraction,educationSome college or associate,-0.117953775534485,0.0868879258198724,0.888737133064108,0.749414478349201,1.05396107828993,0.174924662014628,973.039737715608,0.00697340249285775
AgeInteraction,educationHigh school or GED,-0.326520794485251,0.0913038594677871,0.721429373140176,0.603085440227435,0.86299602960594,0.000365816056644833,971.0449362043,0.0079603732707057
AgeInteraction,educationLess than high school,-0.30182595643582,0.107555634571437,0.739466753119834,0.598760092611558,0.91323901795895,0.00511272502234961,970.8012039405,0.00807470484247517
AgeInteraction,income_group200-399%,0.734878457664163,0.11850580908163,2.08522853355562,1.65240733459486,2.63142019895513,9.28372789593362e-10,744.668876594161,0.0522013445943104
AgeInteraction,income_group100-199%,0.928834360066266,0.128849817413015,2.53155657367885,1.96535402353922,3.26087748516455,2.13373785406157e-12,493.4339528782,0.0943459246051645
